"locale","skeleton_0","pattern_0","skeleton_1","pattern_1","skeleton_2","pattern_2","skeleton_3","pattern_3","skeleton_4","pattern_4"
"en-rGH","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rGY","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rHK","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIE","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIL","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","H:mm","hm","h:mm a"
"en-rIM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIN","MMMMy","MMMM y","EMMMMdy","EEE d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rIO","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rJE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rJM","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKE","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKI","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKN","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rKY","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rLC","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rLR","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
"en-rLS","MMMMy","MMMM y","EMMMMdy","EEE, d MMMM y","EMMMd","EEE, d MMM","Hm","HH:mm","hm","h:mm a"
